date,country_code,new_tested,new_confirmed,new_deceased,new_recovered
2020-08-21,MG,259,59,0,
2020-08-22,MG,327,50,0,
2020-08-23,MG,357,75,0,
2020-08-24,MG,351,73,0,
2020-08-25,MG,339,79,3,
2020-08-26,MG,138,38,3,
2020-08-27,MG,414,104,3,
2020-08-28,MG,637,95,3,
2020-08-29,MG,482,52,1,
2020-08-30,MG,191,20,1,
2020-08-31,MG,532,94,3,
2020-09-05,MG,413,50,1,
2020-09-11,MG,516,68,1,
2020-09-12,MG,436,20,1,
2020-09-13,MG,502,12,2,
2020-09-14,MG,469,34,1,
2020-09-15,MG,369,68,1,
2020-09-18,MG,571,49,2,
2020-09-19,MG,365,33,4,
2020-09-20,MG,439,20,2,
2020-09-21,MG,540,63,1,
2020-09-22,MG,189,31,0,
2020-09-23,MG,223,24,1,
2020-09-24,MG,238,30,1,
2020-09-27,MG,293,63,0,
2020-09-28,MG,297,29,0,
2020-09-29,MG,372,31,1,
2020-09-30,MG,139,46,2,
2020-10-01,MG,745,39,0,
2020-10-02,MG,394,36,0,
2020-10-03,MG,344,29,0,
2020-10-04,MG,481,12,1,
2020-10-05,MG,384,30,1,
2020-10-08,MG,204,22,2,
2020-10-09,MG,222,26,0,
2020-10-12,MG,427,28,0,
2020-10-16,MG,,0,0,
2020-10-17,MG,,0,0,
2020-10-18,MG,,0,0,
2020-10-19,MG,,0,0,
2020-10-20,MG,,0,0,
2020-10-21,MG,,0,0,
2020-10-23,MG,,0,0,
2020-10-24,MG,,0,0,
2020-10-25,MG,,0,0,
2020-10-26,MG,,0,0,
2020-10-27,MG,,0,0,
2020-10-28,MG,,0,0,
2020-10-30,MG,,0,0,
2020-10-31,MG,,0,0,
2020-11-01,MG,,0,0,
2020-11-02,MG,,0,0,
2020-11-03,MG,,0,0,
2020-11-04,MG,,0,0,
2020-11-05,MG,,0,0,
2020-11-07,MG,,0,0,
2020-11-08,MG,,0,0,
2020-11-09,MG,,0,0,
2020-11-10,MG,,0,0,
2020-11-11,MG,,0,0,
2020-11-12,MG,,0,0,
2020-11-14,MG,,0,0,
2020-11-15,MG,,0,0,
2020-11-16,MG,,0,0,
2020-11-18,MG,,0,0,
2020-11-19,MG,,0,0,
2020-11-20,MG,,0,0,
2020-11-21,MG,,0,0,
2020-11-22,MG,,0,0,
2020-11-23,MG,,0,0,
2020-11-24,MG,,0,0,
2020-11-25,MG,,0,0,
2020-11-26,MG,,0,0,
2020-11-27,MG,,0,0,
2020-11-28,MG,,0,0,
2020-11-29,MG,,0,0,
2020-11-30,MG,,0,0,
2020-12-01,MG,,0,0,
2020-12-03,MG,,0,0,
2020-12-04,MG,,0,0,
2020-12-05,MG,,0,0,
2020-12-06,MG,,0,0,
2020-12-07,MG,,0,0,
2020-12-08,MG,,0,0,
2020-12-10,MG,,0,0,
2020-12-11,MG,,0,0,
2020-12-12,MG,,0,0,
2020-12-13,MG,,0,0,
2020-12-14,MG,,0,0,
2020-12-15,MG,,0,0,
2020-12-16,MG,,0,0,
2020-12-18,MG,,0,0,
2020-12-19,MG,,0,0,
2020-12-20,MG,,0,0,
2020-12-21,MG,,0,0,
2020-12-22,MG,,0,0,
2020-12-23,MG,,0,0,
2020-12-25,MG,,0,0,
2020-12-26,MG,,0,0,
2020-12-27,MG,,0,0,
2020-12-28,MG,,0,0,
2020-12-29,MG,,0,0,
2020-12-30,MG,,0,0,
2021-01-01,MG,,0,0,
2021-01-02,MG,,0,0,
2021-01-03,MG,,0,0,
2021-01-04,MG,,0,0,
2021-01-05,MG,,0,0,
2021-01-06,MG,,0,0,
2021-01-08,MG,,0,0,
2021-01-09,MG,,0,0,
2021-01-10,MG,,0,0,
2021-01-11,MG,,0,0,
2021-01-12,MG,,0,0,
2021-01-13,MG,,0,0,
2021-01-15,MG,,0,0,
2021-01-16,MG,,0,0,
2021-01-17,MG,,0,0,
2021-01-18,MG,,0,0,
2021-01-19,MG,,0,0,
2021-01-20,MG,,0,0,
2021-01-22,MG,,0,0,
2021-01-23,MG,,0,0,
2021-01-24,MG,,0,0,
2021-01-25,MG,,0,0,
2021-01-26,MG,,0,0,
2021-01-27,MG,,0,0,
2021-01-29,MG,,0,0,
2021-01-30,MG,,0,0,
2021-01-31,MG,,0,0,
2021-02-01,MG,,0,0,
2021-02-02,MG,,0,0,
2021-02-03,MG,,0,0,
2021-02-05,MG,,0,0,
2021-02-06,MG,,0,0,
2021-02-07,MG,,0,0,
2021-02-08,MG,,0,0,
2021-02-09,MG,,0,0,
2021-02-10,MG,,0,0,
2021-02-12,MG,,0,0,
2021-02-13,MG,,0,0,
2021-02-14,MG,,0,0,
2021-02-15,MG,,0,0,
2021-02-16,MG,,0,0,
2021-02-17,MG,,0,0,
2021-02-19,MG,,0,0,
2021-02-20,MG,,0,0,
2021-02-21,MG,,0,0,
2021-02-22,MG,,0,0,
2021-02-23,MG,,0,0,
2021-02-24,MG,,0,0,
2021-02-26,MG,,0,0,
2021-02-27,MG,,0,0,
2021-02-28,MG,,0,0,
2021-03-01,MG,,0,0,
2021-03-02,MG,,0,0,
2021-03-04,MG,,0,0,
2021-03-05,MG,,0,0,
2021-03-06,MG,,0,0,
2021-03-07,MG,,0,0,
2021-03-08,MG,,0,0,
2021-03-09,MG,,0,0,
2021-03-10,MG,,0,0,
2021-03-20,MG,853,132,4,
2021-03-21,MG,597,66,6,
2021-03-22,MG,1000,162,2,
2021-03-23,MG,814,196,6,
2021-03-24,MG,687,190,9,
2021-03-25,MG,634,194,3,
2021-03-26,MG,510,161,6,
2021-03-27,MG,1281,384,7,
2021-03-28,MG,1158,295,9,
2021-03-29,MG,755,162,15,
2021-03-30,MG,972,270,15,
2021-03-31,MG,869,272,11,
2021-04-01,MG,1204,294,5,
2021-04-02,MG,974,310,5,
2021-04-03,MG,382,137,5,
2021-04-04,MG,528,165,3,
2021-04-05,MG,680,253,7,
2021-04-06,MG,1366,348,6,
2021-04-07,MG,1730,559,11,
2021-04-08,MG,1286,514,7,
2021-04-09,MG,1389,515,7,
2021-04-10,MG,1229,478,6,
2021-04-11,MG,800,224,6,
2021-04-12,MG,1722,583,8,
2021-04-13,MG,3284,859,7,
2021-04-14,MG,1907,832,4,
2021-04-15,MG,1722,578,7,
2021-04-16,MG,1696,588,4,
2021-04-17,MG,1738,593,10,
2021-04-18,MG,1603,404,11,
2021-04-19,MG,1113,390,6,
2021-04-20,MG,1264,477,10,
2021-04-21,MG,1897,706,9,
2021-04-22,MG,1281,487,5,
2021-04-23,MG,1207,484,6,
2021-04-24,MG,1165,299,6,
2021-04-25,MG,562,145,9,
2021-04-26,MG,1252,320,17,
2021-04-27,MG,1862,186,6,
2021-04-28,MG,1334,318,6,
2021-04-29,MG,1364,282,11,
2021-04-30,MG,1470,334,12,
2021-05-01,MG,552,121,11,
2021-05-02,MG,973,238,5,
2021-05-03,MG,418,127,8,
2021-05-04,MG,761,221,5,
2021-05-05,MG,1486,304,6,
2021-05-06,MG,1000,233,15,
2021-05-07,MG,574,138,6,
2021-05-08,MG,724,150,7,
2021-05-09,MG,600,189,3,
2021-05-10,MG,537,159,6,
2021-05-11,MG,803,249,7,
2021-05-12,MG,435,129,3,
2021-05-13,MG,802,117,6,
2021-05-14,MG,907,136,9,
2021-05-15,MG,302,63,8,
2021-05-16,MG,573,122,3,
2021-05-17,MG,274,59,3,
2021-05-18,MG,471,134,6,
2021-05-19,MG,821,173,3,
2021-05-20,MG,619,88,7,
2021-05-21,MG,868,96,7,
2021-05-22,MG,460,78,6,
2021-05-23,MG,241,45,4,
2021-05-24,MG,384,62,7,
2021-05-25,MG,120,41,5,
2021-05-26,MG,675,82,5,
2021-05-27,MG,434,50,2,
2021-05-28,MG,262,32,6,
2021-05-29,MG,573,76,4,
2021-05-30,MG,202,24,2,
2021-05-31,MG,453,53,5,
2021-06-01,MG,459,69,4,
2021-06-02,MG,413,52,7,
2021-06-03,MG,503,91,2,
2021-06-04,MG,400,59,2,
2021-06-05,MG,327,52,5,
2021-06-06,MG,587,16,5,
2021-06-07,MG,366,28,3,
2021-06-08,MG,517,54,1,
2021-06-09,MG,614,29,4,
2021-06-10,MG,275,25,3,
2021-06-11,MG,481,39,5,
2021-06-12,MG,470,15,2,
2021-06-13,MG,517,18,2,
2021-06-14,MG,598,32,1,
2021-06-20,MG,,0,0,
2021-06-21,MG,405,24,2,
2021-06-22,MG,576,5,0,
2021-06-23,MG,288,28,1,
2021-06-24,MG,234,0,0,
2021-06-25,MG,122,0,0,
2021-06-26,MG,7,0,3,
2021-06-27,MG,,0,0,
2021-06-28,MG,,0,0,
2021-06-29,MG,850,0,0,
2021-06-30,MG,137,0,0,
